LIMIT_BAL,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,AGE,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default.payment.next.month
0.02,0.14143369619000493,0.20190375629397905,0.2848652703248514,0.3406509304761137,0.41939346008941025,0.2787692786692019,0.2359394528537703,0.22869674185463656,0.1249500998003992,0.3505608974358974,0.03198976327575176,0.0,0.3148148148148149,0,2,1,2,2,2,2,2,1,1
0.0,0.08877412172191984,0.051116171684777036,0.15137202535506153,0.2186920969950858,0.3214266099889061,0.3792685503330331,0.032078877933620326,0.7832080200501252,0.5988023952095808,0.6009615384615384,0.07016421411814885,0.07895959126799815,0.09259259259259262,1,1,2,2,1,1,2,2,2,0
0.25999999999999995,0.241977981197427,0.32715295452575505,0.43752318306585225,0.5312474824780472,0.6744214145275206,0.7255784990715104,0.21983057908623801,0.5325814536340852,0.0,0.9214743589743589,0.0,0.46446818392940087,0.11111111111111116,0,2,2,2,2,2,3,3,3,0
0.31999999999999995,0.3481877783275606,0.4254926836187129,0.4989325486123132,0.5880226375573995,0.640052284135719,0.7134247367426138,0.29162616303291206,0.32973057644110276,0.48842315369261474,0.24038461538461536,0.6397952655150352,0.46446818392940087,0.14814814814814814,1,2,2,2,2,2,2,2,2,0
0.16,0.2580962394854032,0.33256636749745877,0.4580314382980126,0.5759284620961894,0.6688305269054602,0.7421689962304433,0.0,0.8676378446115288,0.3992015968063872,0.0,0.42653017701002344,0.6967022758941013,0.42592592592592593,0,2,2,3,4,3,3,3,2,0
0.0,0.03509401286491835,0.05236905765639405,0.12685773634362865,0.16482719729316037,0.22247119429707496,0.27710133324437625,0.0,0.06109022556390977,0.155688622754491,0.0,0.0,0.0,0.03703703703703709,0,1,2,1,4,1,1,1,0,1
0.18,0.33771029193468577,0.4327026877949995,0.5333053075826141,0.6366611616853298,0.7569995935897014,0.8283906550577664,0.2777392028884877,0.3132832080200501,0.3375249500998004,0.35697115384615385,0.3708679889102154,0.3251277287505806,0.14814814814814814,1,2,1,2,2,2,2,2,2,0
0.39999999999999997,0.03144482929242949,0.0468532074668852,0.1362298770988402,0.17611576572947715,0.22247119429707496,0.3071910687082319,0.0,0.4783834586466165,0.4369261477045908,0.0,0.5770953294945618,0.0,0.11111111111111116,1,2,2,1,1,1,1,1,1,0
0.039999999999999994,0.20189262741217218,0.24345386779295072,0.5442435932309568,0.4328929348263917,0.5170966926988939,0.5953564399372853,0.20830440216636575,0.2349624060150376,0.8383233532934131,0.0,0.4802729793132864,0.0,0.2777777777777778,0,1,2,2,2,2,2,3,3,0
0.02,0.1214992577931717,0.16141741590298408,0.2591392797382065,0.3258479013937001,0.4201293922518426,0.4723176657659761,0.0,0.43436716791979946,0.12075848303393213,0.3004807692307692,0.0,0.33813283790060383,0.05555555555555558,1,1,2,4,4,2,2,2,3,1
